freq,psd_x,psd_y,psd_z,psd_xyz
18.6,49999.2,4999.9,2500.0,54999.1
18.7,50475.4,5047.5,2523.8,55523.0
18.8,50958.3,5095.8,2547.9,56054.2
18.9,51448.1,5144.8,2572.4,56592.9
19.0,51944.9,5194.5,2597.2,57139.4
19.1,52448.8,5244.9,2622.4,57693.7
19.2,52959.9,5296.0,2648.0,58255.9
19.3,53478.4,5347.8,2673.9,58826.3
19.4,54004.5,5400.4,2700.2,59404.9
19.5,54538.2,5453.8,2726.9,59992.0
19.6,55079.7,5508.0,2754.0,60587.6
19.7,55629.1,5562.9,2781.5,61192.1
19.8,56186.7,5618.7,2809.3,61805.4
19.9,56752.6,5675.3,2837.6,62427.8
20.0,57326.9,5732.7,2866.3,63059.6
20.1,57909.8,5791.0,2895.5,63700.8
20.2,58501.4,5850.1,2925.1,64351.6
20.3,59102.0,5910.2,2955.1,65012.2
20.4,59711.7,5971.2,2985.6,65682.9
20.5,60330.7,6033.1,3016.5,66363.8
20.6,60959.2,6095.9,3048.0,67055.1
20.7,61597.4,6159.7,3079.9,67757.1
20.8,62245.4,6224.5,3112.3,68469.9
20.9,62903.5,6290.3,3145.2,69193.8
21.0,63571.8,6357.2,3178.6,69929.0
21.1,64250.6,6425.1,3212.5,70675.7
21.2,64940.1,6494.0,3247.0,71434.2
21.3,65640.6,6564.1,3282.0,72204.6
21.4,66352.1,6635.2,3317.6,72987.3
21.5,67075.0,6707.5,3353.8,73782.5
21.6,67809.5,6781.0,3390.5,74590.5
21.7,68555.9,6855.6,3427.8,75411.5
21.8,69314.3,6931.4,3465.7,76245.8
21.9,70085.1,7008.5,3504.3,77093.6
22.0,70868.5,7086.9,3543.4,77955.4
22.1,71664.8,7166.5,3583.2,78831.3
22.2,72474.2,7247.4,3623.7,79721.6
22.3,73297.0,7329.7,3664.9,80626.7
22.4,74133.6,7413.4,3706.7,81546.9
22.5,74984.1,7498.4,3749.2,82482.6
22.6,75849.0,7584.9,3792.5,83433.9
22.7,76728.5,7672.9,3836.4,84401.4
22.8,77623.0,7762.3,3881.1,85385.3
22.9,78532.7,7853.3,3926.6,86386.0
23.0,79458.0,7945.8,3972.9,87403.8
23.1,80399.3,8039.9,4020.0,88439.2
23.2,81356.9,8135.7,4067.8,89492.6
23.3,82331.2,8233.1,4116.6,90564.3
23.4,83322.5,8332.3,4166.1,91654.8
23.5,84331.3,8433.1,4216.6,92764.4
23.6,85357.9,8535.8,4267.9,93893.7
23.7,86402.7,8640.3,4320.1,95043.0
23.8,87466.2,8746.6,4373.3,96212.8
23.9,88548.7,8854.9,4427.4,97403.6
24.0,89650.8,8965.1,4482.5,98615.8
24.1,90772.8,9077.3,4538.6,99850.1
24.2,91915.2,9191.5,4595.8,101106.8
24.3,93078.6,9307.9,4653.9,102386.5
24.4,94263.3,9426.3,4713.2,103689.7
24.5,95470.0,9547.0,4773.5,105017.0
24.6,96699.0,9669.9,4835.0,106368.9
24.7,97951.0,9795.1,4897.6,107746.1
24.8,99226.5,9922.6,4961.3,109149.1
24.9,100526.0,10052.6,5026.3,110578.6
25.0,101850.2,10185.0,5092.5,112035.2
25.1,103199.5,10320.0,5160.0,113519.5
25.2,104574.7,10457.5,5228.7,115032.2
25.3,105976.3,10597.6,5298.8,116574.0
25.4,107405.1,10740.5,5370.3,118145.6
25.5,108861.5,10886.2,5443.1,119747.7
25.6,110346.5,11034.6,5517.3,121381.1
25.7,111860.5,11186.1,5593.0,123046.6
25.8,113404.4,11340.4,5670.2,124744.9
25.9,114978.9,11497.9,5748.9,126476.8
26.0,116584.8,11658.5,5829.2,128243.3
26.1,118222.8,11822.3,5911.1,130045.1
26.2,119893.8,11989.4,5994.7,131883.1
